# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,0.5,0.5
0.002,2.591,0.5,0.5
-0.034,5.876,0.5,0.5
-0.013,7.767,0.5,0.5
-0.14,9.478,0.5,0.5
1.376,9.782,0.5,0.5
2.811,9.875,0.5,0.5
4.503,9.852,0.5,0.5
6.272,9.877,0.5,0.5
7.763,9.898,0.5,0.5
8.547,9.498,0.5,0.5
8.637,7.85,0.5,0.5
8.598,6.091,0.5,0.5
8.661,4.079,0.5,0.5
8.654,2.084,0.5,0.5
8.643,-0.652,0.5,0.5
8.629,-2.661,0.5,0.5
8.561,-5.612,0.5,0.5
8.578,-8.615,0.5,0.5
8.643,-10.831,0.5,0.5
8.751,-12.552,0.5,0.5
8.79,-13.705,0.5,0.5
7.741,-13.697,0.5,0.5
6.23,-13.68,0.5,0.5
4.922,-13.719,0.5,0.5
3.562,-13.69,0.5,0.5
1.892,-13.711,0.5,0.5
0.674,-13.715,0.5,0.5
-0.114,-13.314,0.5,0.5
-0.148,-12.26,0.5,0.5
-0.067,-11.004,0.5,0.5
-0.041,-9.075,0.5,0.5
0.044,-6.828,0.5,0.5
-0.066,-4.64,0.5,0.5
0.029,-2.101,0.5,0.5
