# x_m,y_m,w_tr_right_m,w_tr_left_m
3.674368,-0.078848,0.4,0.6
4.470117,-0.232106,0.4,0.6
5.47965,-0.409681,0.4,0.6
6.488347,-0.569796,0.4,0.6
7.461966,-0.643915,0.4,0.6
8.292291,-0.103536,0.4,0.6
8.744246,0.78137,0.4,0.6
9.117832,1.723867,0.4,0.6
9.359467,2.686015,0.4,0.6
9.618978,3.716333,0.4,0.6
9.830991,4.709689,0.4,0.6
10.02769,5.711162,0.4,0.6
10.197465,6.706091,0.4,0.6
10.11741,7.689006,0.4,0.6
9.401539,8.294301,0.4,0.6
8.497577,8.518246,0.4,0.6
7.566512,8.195566,0.4,0.6
7.156444,7.210086,0.4,0.6
7.007459,6.141071,0.4,0.6
6.78569,5.17183,0.4,0.6
6.221056,4.256438,0.4,0.6
5.332113,3.868947,0.4,0.6
4.350667,3.921005,0.4,0.6
3.237104,4.074348,0.4,0.6
2.280207,4.223092,0.4,0.6
1.369922,4.344766,0.4,0.6
0.446283,3.855941,0.4,0.6
-0.067008,3.045316,0.4,0.6
-0.190359,2.056291,0.4,0.6
-0.08495,1.030023,0.4,0.6
0.635112,0.500799,0.4,0.6
1.741419,0.373574,0.4,0.6
2.554395,0.140004,0.4,0.6
