# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.133916,0.000934,0.5,0.5
0.126079,0.000761,0.5,0.5
1.126062,0.001253,0.5,0.5
2.126019,-0.004926,0.5,0.5
3.125972,-0.012955,0.5,0.5
4.125927,-0.020721,0.5,0.5
5.125893,-0.022686,0.5,0.5
6.125871,-0.019096,0.5,0.5
7.125742,-0.028274,0.5,0.5
8.124657,-0.074404,0.5,0.5
9.044034,0.242345,0.5,0.5
9.631721,1.042523,0.5,0.5
9.878398,2.008522,0.5,0.5
9.96253,3.004078,0.5,0.5
9.940699,4.003789,0.5,0.5
9.912701,5.003381,0.5,0.5
9.905769,6.003326,0.5,0.5
9.860552,7.001049,0.5,0.5
9.502942,7.915656,0.5,0.5
8.668118,8.449158,0.5,0.5
7.696155,8.670663,0.5,0.5
6.696861,8.700984,0.5,0.5
5.696976,8.688272,0.5,0.5
4.697063,8.677008,0.5,0.5
3.697119,8.668373,0.5,0.5
2.697158,8.661906,0.5,0.5
1.697189,8.656294,0.5,0.5
0.69722,8.650678,0.5,0.5
-0.302743,8.644162,0.5,0.5
-1.302707,8.637662,0.5,0.5
-2.302547,8.621202,0.5,0.5
-3.302368,8.603076,0.5,0.5
-4.302188,8.584903,0.5,0.5
-5.302161,8.581959,0.5,0.5
-6.302146,8.580837,0.5,0.5
-7.302127,8.579812,0.5,0.5
-8.30197,8.595049,0.5,0.5
-9.301767,8.614274,0.5,0.5
-10.301093,8.648678,0.5,0.5
-11.300046,8.694102,0.5,0.5
-12.299253,8.733487,0.5,0.5
-13.20966,8.407413,0.5,0.5
-13.703162,7.558459,0.5,0.5
-13.818971,6.566223,0.5,0.5
-13.806638,5.566472,0.5,0.5
-13.753683,4.56791,0.5,0.5
-13.732409,3.568196,0.5,0.5
-13.72432,2.568252,0.5,0.5
-13.694232,1.569457,0.5,0.5
-13.385637,0.636175,0.5,0.5
-12.583726,0.057746,0.5,0.5
-11.606562,-0.146325,0.5,0.5
-10.609022,-0.20272,0.5,0.5
-9.610739,-0.145659,0.5,0.5
-8.613069,-0.07765,0.5,0.5
-7.614931,-0.017593,0.5,0.5
-6.615147,-0.002198,0.5,0.5
-5.61553,-0.02827,0.5,0.5
-4.615643,-0.022269,0.5,0.5
-3.615865,-0.002093,0.5,0.5
-2.615952,0.004572,0.5,0.5
-1.615971,0.00313,0.5,0.5
