# x_m,y_m,w_tr_right_m,w_tr_left_m
3.674368,-0.078848,1.1,0.4458
4.470117,-0.232106,1.0871,0.4365
5.47965,-0.409681,1.032,0.407
6.488347,-0.569796,1.071,0.402
7.461966,-0.643915,1.279,0.394
8.292291,-0.103536,2.209,0.118
8.744246,0.78137,1.238,0.121
9.117832,1.723867,1.132,0.294
9.359467,2.686015,1.018,0.311
9.618978,3.716333,1.043,0.466
9.830991,4.709689,1.037,0.428
10.02769,5.711162,0.932,0.425
10.197465,6.706091,0.925,0.439
10.11741,7.689006,1.451,0.483
9.401539,8.294301,2.491,0.296
8.497577,8.518246,2.305,0.348
7.566512,8.195566,1.879,0.376
7.156444,7.210086,1.161,0.439
7.007459,6.141071,1.201,0.332
6.78569,5.17183,1.123,0.41
6.221056,4.256438,1.163,1.339
5.332113,3.868947,1.271,1.419
4.350667,3.921005,1.219,1.162
3.237104,4.074348,1.349,1.17
2.280207,4.223092,1.356,1.135
1.369922,4.344766,1.638,1.299
0.446283,3.855941,1.788,1.366
-0.067008,3.045316,0.952,1.299
-0.190359,2.056291,1.004,1
-0.08495,1.030023,1.427,1.216
0.635112,0.500799,1.028,1.146
1.741419,0.373574,0.764,0.484
2.554395,0.140004,0.874,0.491
